,Address,Price,Beds,Source,lat,long
0,"1901 N Lincoln Ave, Urbana, IL 61801",615,2bd,apartments.com,40.1299138,-88.22012864975372
1,"1901 N Lincoln Ave, Urbana, IL 61801",565,3bd,apartments.com,40.1299138,-88.22012864975372
2,"1901 N Lincoln Ave, Urbana, IL 61801",495,4bd,apartments.com,40.1299138,-88.22012864975372
3,"1032 Kerr Ave E, Urbana, IL 61802",745,1bd,apartments.com,40.1236031,-88.1967487
4,"1032 Kerr Ave E, Urbana, IL 61802",795,1bd,apartments.com,40.1236031,-88.1967487
5,"1032 Kerr Ave E, Urbana, IL 61802",805,1bd,apartments.com,40.1236031,-88.1967487
6,"1032 Kerr Ave E, Urbana, IL 61802",815,1bd,apartments.com,40.1236031,-88.1967487
7,"1032 Kerr Ave E, Urbana, IL 61802",845,1bd,apartments.com,40.1236031,-88.1967487
8,"1032 Kerr Ave E, Urbana, IL 61802",865,1bd,apartments.com,40.1236031,-88.1967487
9,"1032 Kerr Ave E, Urbana, IL 61802",915,2bd,apartments.com,40.1236031,-88.1967487
10,"1032 Kerr Ave E, Urbana, IL 61802",975,2bd,apartments.com,40.1236031,-88.1967487
11,"202 E Daniel St, Champaign, IL 61820",1659,1bd,apartments.com,40.1082852,-88.23655539963613
12,"202 E Daniel St, Champaign, IL 61820",1695,1bd,apartments.com,40.1082852,-88.23655539963613
13,"202 E Daniel St, Champaign, IL 61820",1269,2bd,apartments.com,40.1082852,-88.23655539963613
14,"202 E Daniel St, Champaign, IL 61820",1279,2bd,apartments.com,40.1082852,-88.23655539963613
15,"202 E Daniel St, Champaign, IL 61820",1289,2bd,apartments.com,40.1082852,-88.23655539963613
16,"202 E Daniel St, Champaign, IL 61820",899,4bd,apartments.com,40.1082852,-88.23655539963613
17,"202 E Daniel St, Champaign, IL 61820",959,4bd,apartments.com,40.1082852,-88.23655539963613
18,"202 E Daniel St, Champaign, IL 61820",999,4bd,apartments.com,40.1082852,-88.23655539963613
19,"519 E Green St, Champaign, IL 61820",1250,2bd,apartments.com,40.1101671,-88.2306188
20,"519 E Green St, Champaign, IL 61820",1400,3bd,apartments.com,40.1101671,-88.2306188
21,"51 E John St, Champaign, IL 61820",980,2bd,apartments.com,40.10891376923077,-88.24005861538461
22,"51 E John St, Champaign, IL 61820",895,4bd,apartments.com,40.10891376923077,-88.24005861538461
23,"112 E Green St, Champaign, IL 61820",850,2bd,apartments.com,40.1103785,-88.2372133
24,"112 E Green St, Champaign, IL 61820",900,2bd,apartments.com,40.1103785,-88.2372133
25,"1205 E Florida Ave, Urbana, IL 61801",899,2bd,apartments.com,40.09737245,-88.1936766
26,"1205 E Florida Ave, Urbana, IL 61801",949,2bd,apartments.com,40.09737245,-88.1936766
27,"1905 N Cunningham Ave, Urbana, IL 61802",865,Studio,apartments.com,40.13089805301729,-88.19715860901138
28,"1905 N Cunningham Ave, Urbana, IL 61802",1145,1bd,apartments.com,40.13089805301729,-88.19715860901138
29,"1905 N Cunningham Ave, Urbana, IL 61802",1295,2bd,apartments.com,40.13089805301729,-88.19715860901138
30,"1905 N Cunningham Ave, Urbana, IL 61802",1385,2bd,apartments.com,40.13089805301729,-88.19715860901138
31,"615 S Wright St, Champaign, IL 61820",1850,2bd,apartments.com,40.1145339,-88.2289391
32,"615 S Wright St, Champaign, IL 61820",2650,3bd,apartments.com,40.1145339,-88.2289391
33,"615 S Wright St, Champaign, IL 61820",2700,3bd,apartments.com,40.1145339,-88.2289391
34,"112 E Chalmers St, Champaign, IL 61820",950,3bd,apartments.com,40.106617346938776,-88.23833751020409
35,"112 E Chalmers St, Champaign, IL 61820",895,4bd,apartments.com,40.106617346938776,-88.23833751020409
36,"28 E Green St, Champaign, IL 61820",1715,1bd,apartments.com,40.11028383726212,-88.24094659777512
37,"28 E Green St, Champaign, IL 61820",1760,1bd,apartments.com,40.11028383726212,-88.24094659777512
38,"28 E Green St, Champaign, IL 61820",1515,2bd,apartments.com,40.11028383726212,-88.24094659777512
39,"28 E Green St, Champaign, IL 61820",965,3bd,apartments.com,40.11028383726212,-88.24094659777512
40,"28 E Green St, Champaign, IL 61820",875,4bd,apartments.com,40.11028383726212,-88.24094659777512
41,"502 W Green St, Urbana, IL 61801",500,4bd,apartments.com,40.11105555,-88.21380267764113
42,"410 N Lincoln Ave, Urbana, IL 61801",1259,Studio,apartments.com,40.1158964,-88.2190945
43,"410 N Lincoln Ave, Urbana, IL 61801",1549,1bd,apartments.com,40.1158964,-88.2190945
44,"410 N Lincoln Ave, Urbana, IL 61801",1029,2bd,apartments.com,40.1158964,-88.2190945
45,"410 N Lincoln Ave, Urbana, IL 61801",1039,2bd,apartments.com,40.1158964,-88.2190945
46,"410 N Lincoln Ave, Urbana, IL 61801",1039,2bd,apartments.com,40.1158964,-88.2190945
47,"410 N Lincoln Ave, Urbana, IL 61801",1049,2bd,apartments.com,40.1158964,-88.2190945
48,"410 N Lincoln Ave, Urbana, IL 61801",739,4bd,apartments.com,40.1158964,-88.2190945
49,"404 E Michigan Ave, Urbana, IL 61801",1025,2bd,apartments.com,40.10219775,-88.20306123804824
50,"404 E Michigan Ave, Urbana, IL 61801",1075,2bd,apartments.com,40.10219775,-88.20306123804824
51,"404 E Michigan Ave, Urbana, IL 61801",800,2bd,apartments.com,40.10219775,-88.20306123804824
52,"404 E Michigan Ave, Urbana, IL 61801",980,2bd,apartments.com,40.10219775,-88.20306123804824
53,"404 E Michigan Ave, Urbana, IL 61801",775,2bd,apartments.com,40.10219775,-88.20306123804824
54,"404 E Michigan Ave, Urbana, IL 61801",875,3bd,apartments.com,40.10219775,-88.20306123804824
55,"404 E Michigan Ave, Urbana, IL 61801",1025,1bd,apartments.com,40.10219775,-88.20306123804824
56,"404 E Michigan Ave, Urbana, IL 61801",770,2bd,apartments.com,40.10219775,-88.20306123804824
57,"1601 N Lincoln Ave, Urbana, IL 61801",685,2bd,apartments.com,40.128217649999996,-88.22028346175799
58,"1601 N Lincoln Ave, Urbana, IL 61801",590,3bd,apartments.com,40.128217649999996,-88.22028346175799
59,"1601 N Lincoln Ave, Urbana, IL 61801",540,4bd,apartments.com,40.128217649999996,-88.22028346175799
60,"1321 N Lincoln Ave, Urbana, IL 61801",1245,1bd,apartments.com,40.1248316,-88.2213989
61,"1321 N Lincoln Ave, Urbana, IL 61801",655,2bd,apartments.com,40.1248316,-88.2213989
62,"1321 N Lincoln Ave, Urbana, IL 61801",675,2bd,apartments.com,40.1248316,-88.2213989
63,"1321 N Lincoln Ave, Urbana, IL 61801",490,4bd,apartments.com,40.1248316,-88.2213989
64,"410 E Green St, Champaign, IL 61820",950,3bd,apartments.com,40.11034645998208,-88.23326462914497
65,"410 E Green St, Champaign, IL 61820",1000,3bd,apartments.com,40.11034645998208,-88.23326462914497
66,"509 E Green St, Champaign, IL 61820",1100,2bd,apartments.com,40.1101743,-88.2309118
67,"11 E Columbia Ave, Champaign, IL 61820",1050,1bd,apartments.com,40.12118400998356,-88.24306336774745
68,"11 E Columbia Ave, Champaign, IL 61820",1315,2bd,apartments.com,40.12118400998356,-88.24306336774745
69,"512 S Third St, Champaign, IL 61820",779,2bd,apartments.com,40.112031200000004,-88.23513212822255
70,"512 S Third St, Champaign, IL 61820",819,2bd,apartments.com,40.112031200000004,-88.23513212822255
